STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
CA,7,H6CA34112,(I),Dan,Lungren,R,"63,586",52.73%,,,"132,050",48.32%
CA,7,H2CA07117 ,,Curt,Taras,NOP,"3,854",3.20%,,,,
CA,7,H8CA05134,,Douglas Arthur,Tuma,LIB,"3,707",3.07%,,,,
CA,7,n/a,,,,,"120,580",,,,"273,291",
CA,,n/a,,,,,,,,,,
CA,8,H2CA08164,,Paul ,Cook,R,"12,517",15.29%,,,"103,093",57.39%
CA,8,H2CA41116,,Gregg,Imus,R,"12,754",15.58%,,,"76,551",42.61%
CA,8,H0CA42175,,Phil,Liberatore,R,"12,277",15.00%,,,,
CA,8,H8CA25058,,Jackie ,Conaway,D,"11,674",14.26%,,,,
CA,8,B2CA08156,,Brad,Mitzelfelt,R,"8,801",10.75%,,,,
CA,8,H2CA00138,,John ,Pinkerton,D,"7,941",9.70%,,,,
CA,8,H2CA08149,,Angela,Valles,R,"4,924",6.02%,,,,
CA,8,H2CA08131,,Ryan,McEachron,R,"3,181",3.89%,,,,
CA,8,H2CA08180,,Anthony ,Adams,NOP,"2,750",3.36%,,,,
CA,8,H2CA08172,,Bill,Jensen,R,"1,850",2.26%,,,,
CA,8,H4CA40049,,George T.,Craig,R,"1,376",1.68%,,,,
CA,8,H2CA08206 ,,Joseph D.,Napolitano,R,"1,050",1.28%,,,,
CA,8,H2CA08198 ,,Dennis L.,Albertsen,R,761,0.93%,,,,
CA,8,n/a,,,,,"81,856",,,,"179,644",
CA,,n/a,,,,,,,,,,
CA,9,H4CA11081,(I),Jerry ,McNerney,D,"45,696",47.78%,,,"118,373",55.55%
CA,9,H2CA11135,,Ricky ,Gill,R,"38,488",40.24%,,,"94,704",44.45%
CA,9,H2CA09105,,John ,McDonald,R,"11,458",11.98%,,,,
CA,9,n/a,,,,,"95,642",,,,"213,077",
CA,,n/a,,,,,,,,,,
CA,10,H0CA19173,(I),Jeff,Denham,R,"45,779",49.24%,,,"110,265",52.71%
CA,10,H2CA10145,,Jose,Hernandez,D,"26,072",28.04%,,,"98,934",47.29%
CA,10,H2CA10152,,Chad M.,Condit,NOP,"13,983",15.04%,,,,
CA,10,H2CA00096,,"Michael J. ""Mike""",Barkley,D,"5,028",5.41%,,,,
CA,10,H2CA10160 ,,Troy Wayne,McComak,NOP,"2,114",2.27%,,,,
CA,10,n/a,,,,,"92,976",,,,"209,199",
CA,,n/a,,,,,,,,,,
